date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:12	98/98	---MCZ	200	added ('OK')	text/plain	etag:W/%22e67678ff9532d51:0%22	https://grabify.link/robots.txt		(from )
08:57:13	26309/26309	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:13%20GMT	https://grabify.link/	C:/Mis%20lugares%20Web/Localizar/grabify.link/index.html	(from )
08:57:13	24538/24538	---M--	200	added ('OK')	image/png	etag:%227e86ed792439d41:0%22	https://grabify.link/images/196.png	C:/Mis%20lugares%20Web/Localizar/grabify.link/images/196.png	(from https://grabify.link/)
08:57:14	21822/21822	---MCZ	200	added ('OK')	image/x-icon	etag:W/%227e86ed792439d41:0%22	https://grabify.link/images/favicon.ico	C:/Mis%20lugares%20Web/Localizar/grabify.link/images/favicon.ico	(from https://grabify.link/)
08:57:15	160553/160553	---MCZ	200	added ('OK')	text/css	etag:W/%22d9cf7a0d463d61:0%22	https://grabify.link/css/all.css?id=ab4670ca7cfa50e69889	C:/Mis%20lugares%20Web/Localizar/grabify.link/css/allea2f.css	(from https://grabify.link/)
08:57:15	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f0e8ef792439d41:0%22	https://grabify.link/js/jquery-3.3.1.min.js	C:/Mis%20lugares%20Web/Localizar/grabify.link/js/jquery-3.3.1.min.js	(from https://grabify.link/)
08:57:15	19/19	---M--	200	added ('OK')	application/javascript	etag:%2259fbdec61560d41:0%22	https://grabify.link/js/ads.js	C:/Mis%20lugares%20Web/Localizar/grabify.link/js/ads.js	(from https://grabify.link/)
08:57:19	15200/15200	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:18%20GMT	https://grabify.link/ip-lookup	C:/Mis%20lugares%20Web/Localizar/grabify.link/ip-lookup.html	(from https://grabify.link/)
08:57:21	16243/16243	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:20%20GMT	https://grabify.link/image	C:/Mis%20lugares%20Web/Localizar/grabify.link/image.html	(from https://grabify.link/)
08:57:24	14142/14142	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:23%20GMT	https://grabify.link/expander	C:/Mis%20lugares%20Web/Localizar/grabify.link/expander.html	(from https://grabify.link/)
08:57:24	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Mis%20lugares%20Web/Localizar/www.google-analytics.com/analytics.js	(from https://grabify.link/)
08:57:26	13058/13058	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:26%20GMT	https://grabify.link/login	C:/Mis%20lugares%20Web/Localizar/grabify.link/login.html	(from https://grabify.link/)
08:57:27	126446/126446	---MC-	200	added ('OK')	text/javascript	date:Mon,%2010%20Aug%202020%2013:57:16%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Mis%20lugares%20Web/Localizar/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://grabify.link/)
08:57:27	81450/81450	---MC-	200	added ('OK')	application/javascript	etag:W/%220fd3b9b17e087d93a506c1bd36e61c6b%22	http://cdn.publift.com/fuse/tag/2/1218/fuse.js	C:/Mis%20lugares%20Web/Localizar/cdn.publift.com/fuse/tag/2/1218/fuse.js	(from https://grabify.link/)
08:57:28	13697/13697	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:28%20GMT	https://grabify.link/register	C:/Mis%20lugares%20Web/Localizar/grabify.link/register.html	(from https://grabify.link/)
08:57:29	493/493	---MC-	302	error ('Found')	text/html	date:Mon,%2010%20Aug%202020%2013:57:29%20GMT	https://grabify.link/hide	C:/Mis%20lugares%20Web/Localizar/grabify.link/hide	(from https://grabify.link/)
08:57:30	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2010%20Aug%202020%2013:57:30%20GMT	https://hcaptcha.com/1/api.js	C:/Mis%20lugares%20Web/Localizar/hcaptcha.com/1/api.e.delayed	(from https://grabify.link/)
08:57:31	63516/63516	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212848cfdaf7b573dd7a4a19d47b2dfbc%22	https://assets.hcaptcha.com/captcha/v1/88f8cd7/hcaptcha.js	C:/Mis%20lugares%20Web/Localizar/assets.hcaptcha.com/captcha/v1/88f8cd7/hcaptcha.js	(from https://grabify.link/)
08:57:31	39747/39747	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:31%20GMT	https://grabify.link/tos	C:/Mis%20lugares%20Web/Localizar/grabify.link/tos.html	(from https://grabify.link/)
08:57:44	43891/43891	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:36%20GMT	https://grabify.link/privacy	C:/Mis%20lugares%20Web/Localizar/grabify.link/privacy.html	(from https://grabify.link/)
08:57:44	23008/23008	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:43%20GMT	https://grabify.link/donations	C:/Mis%20lugares%20Web/Localizar/grabify.link/donations.html	(from https://grabify.link/)
08:57:44	2442/2442	---M--	200	added ('OK')	image/gif	etag:%2290694f63aa25d51:0%22	https://grabify.link/images/paypal.gif	C:/Mis%20lugares%20Web/Localizar/grabify.link/images/paypal.gif	(from https://grabify.link/)
08:57:45	14081/14081	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:45%20GMT	https://grabify.link/faq/features	C:/Mis%20lugares%20Web/Localizar/grabify.link/faq/features.html	(from https://grabify.link/)
08:57:45	47681/47681	---M--	200	added ('OK')	image/jpeg	etag:%221563579999%22	https://i.ytimg.com/vi/nW9-BJsdSb4/sddefault.jpg	C:/Mis%20lugares%20Web/Localizar/i.ytimg.com/vi/nW9-BJsdSb4/sddefault.jpg	(from https://grabify.link/)
08:57:46	15672/15672	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:46%20GMT	https://grabify.link/faq	C:/Mis%20lugares%20Web/Localizar/grabify.link/faq.html	(from https://grabify.link/)
08:57:46	112492/112492	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271a9619fd463d61:0%22	https://grabify.link/js/homepage.js?id=cd50f9c94b9a52a6e2af	C:/Mis%20lugares%20Web/Localizar/grabify.link/js/homepage81d0.js	(from https://grabify.link/)
08:57:47	15513/15513	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:47%20GMT	https://grabify.link/removeme	C:/Mis%20lugares%20Web/Localizar/grabify.link/removeme.html	(from https://grabify.link/)
08:57:47	36848/36848	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e25fd9fd463d61:0%22	https://grabify.link/js/all.js?id=52535e0a408dac9e857f	C:/Mis%20lugares%20Web/Localizar/grabify.link/js/all1af6.js	(from https://grabify.link/)
08:57:48	493/493	---MC-	302	error ('Found')	text/html	date:Mon,%2010%20Aug%202020%2013:57:48%20GMT	https://grabify.link/hide	C:/Mis%20lugares%20Web/Localizar/grabify.link/hide	(from https://grabify.link/ip-lookup)
08:57:49	13902/13902	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2013:57:49%20GMT	https://grabify.link/forgot	C:/Mis%20lugares%20Web/Localizar/grabify.link/forgot.html	(from https://grabify.link/login)
08:57:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Mis%20lugares%20Web/Localizar/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://grabify.link/donations)
08:57:51	112009/112009	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271a9619fd463d61:0%22	https://grabify.link/js/donations.js?id=e94fcc2e23e8941347e4	C:/Mis%20lugares%20Web/Localizar/grabify.link/js/donationse2cb.js	(from https://grabify.link/donations)
08:57:51	13386/13386	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Aug%202020%2013:57:51%20GMT	https://grabify.link/tiny.cc	C:/Mis%20lugares%20Web/Localizar/grabify.link/tiny.cc	(from https://grabify.link/donations)
